term_idx,input_size,eqsat_ms,eclasses,nodes,initial_cost,output_cost,stop_reason
0,500,209.4,35664,106248,268.2,13.1,node_limit(115339)
1,500,281.3,11924,67673,269.0,164.4,node_limit(106077)
2,500,130.2,29525,98985,268.7,0.1,node_limit(109147)
3,500,256.8,11144,64320,269.7,120.6,node_limit(100996)
4,500,495.9,7728,54401,267.3,30.6,node_limit(106592)
5,500,255.6,35022,98566,268.9,83.1,node_limit(104162)
6,500,136.9,29037,93055,268.8,3.4,node_limit(101746)
7,500,320.9,26784,116977,269.1,6.6,node_limit(123844)
8,500,141.3,28210,96042,269.0,165.8,node_limit(108326)
9,500,129.9,29808,97173,269.4,171.2,node_limit(106501)
10,500,309.5,19576,75985,269.2,180.3,node_limit(104354)
11,500,139.5,32132,102284,268.9,39.9,node_limit(108893)
12,500,294.9,12052,67891,269.4,102.1,node_limit(105558)
13,500,287.2,43648,100426,269.6,9.4,node_limit(106370)
14,500,335.1,15112,81089,269.2,220.2,iteration_limit(30)
15,500,100.9,30130,102687,269.7,130.6,node_limit(111083)
16,500,133.3,30244,103867,269.1,130.1,node_limit(114600)
17,500,265.8,11698,66547,268.3,93.0,node_limit(102923)
18,500,246.1,46334,105554,268.7,0.1,node_limit(112159)
19,500,119.0,27882,92346,269.2,165.2,node_limit(100827)
20,500,137.6,27984,93430,268.8,128.3,node_limit(104605)
21,500,143.1,25386,91057,269.3,161.2,node_limit(101799)
22,500,334.1,27156,117751,269.0,85.3,node_limit(123430)
23,500,289.6,11630,65942,268.3,164.6,node_limit(102006)
24,500,303.7,12512,63255,269.5,208.7,node_limit(101091)
25,500,280.9,42423,96606,268.5,7.2,node_limit(102631)
26,500,123.0,28480,92639,267.8,36.4,node_limit(101363)
27,500,124.8,25737,91668,268.6,148.2,node_limit(102415)
28,500,130.6,32520,104143,268.4,26.8,node_limit(112246)
29,500,273.4,19715,76577,269.1,5.0,node_limit(105151)
30,500,504.5,7712,54168,269.0,90.8,node_limit(105468)
31,500,227.5,42645,97295,268.9,130.2,node_limit(102848)
32,500,367.0,10096,53049,268.7,153.0,node_limit(101067)
33,500,297.8,11746,66630,269.1,140.9,node_limit(103200)
34,500,309.3,13044,65868,268.8,193.6,node_limit(105676)
35,500,122.5,24932,88518,268.6,7.1,node_limit(100012)
36,500,342.5,13156,68079,269.3,139.1,node_limit(108876)
37,500,136.4,31073,101063,269.1,59.5,node_limit(109880)
38,500,143.1,27399,96868,267.5,80.0,node_limit(107967)
39,500,135.6,27752,92754,269.0,0.1,node_limit(101818)
40,500,298.8,12572,63915,269.1,148.6,node_limit(102149)
41,500,284.5,41311,107788,269.1,162.5,node_limit(113070)
42,500,300.6,11940,67809,268.6,123.8,node_limit(105886)
43,500,252.5,19952,78039,269.0,130.0,node_limit(106969)
44,500,241.6,44565,101695,269.3,82.1,node_limit(107249)
45,500,255.6,20084,77647,269.4,133.4,node_limit(106694)
46,500,260.9,20435,78396,268.9,2.8,node_limit(107073)
47,500,121.0,28804,96551,269.3,154.3,node_limit(107107)
48,500,118.9,29223,95511,269.5,152.2,node_limit(104562)
49,500,136.9,29297,97149,268.7,49.1,node_limit(107788)
50,500,148.1,25325,89931,268.8,84.0,node_limit(100343)
51,500,420.1,15458,82554,268.1,38.7,iteration_limit(30)
52,500,303.6,15276,82093,268.8,191.1,iteration_limit(30)
53,500,251.3,32928,94345,269.7,122.3,node_limit(100694)
54,500,246.9,19721,75663,269.4,128.6,node_limit(103526)
55,500,134.0,29693,100818,268.8,1.7,node_limit(110340)
56,500,148.2,27477,95420,268.7,26.3,node_limit(106754)
57,500,333.0,48880,109068,268.9,146.2,node_limit(115001)
58,500,273.7,12894,65442,269.6,96.7,node_limit(106496)
59,500,322.9,27140,118063,269.0,2.8,node_limit(123883)
